Date,SecuritiesCode,Securities,Memo,Withdrawal,Deposit,Balance,AccountNo
2024-11-29,00631L,元大台灣50正2,買進,,10,544,
2024-11-29,006208,富邦台50,買進,,20,"4,556",
2024-11-25,006208,富邦台50,買進,,30,"4,536",
2024-11-21,00631L,元大台灣50正2,買進,,10,534,
2024-11-21,006208,富邦台50,買進,,20,"4,506",
2024-11-12,006208,富邦台50,買進,,20,"4,486",
2024-10-22,006208,富邦台50,買進,,20,"4,466",
2024-09-23,006208,富邦台50,買進,,30,"4,446",
2024-09-13,006208,富邦台50,買進,,40,"4,416",
2024-09-05,00631L,元大台灣50正2,買進,,10,524,
2024-08-27,006208,富邦台50,買進,,40,"4,376",
2024-08-27,0050,元大台灣50,賣出,10,,0,
2024-08-19,0050,元大台灣50,買進,,10,10,
2024-08-13,00631L,元大台灣50正2,買進,,14,514,
2024-08-06,00631L,元大台灣50正2,買進,,10,500,
2024-08-02,00631L,元大台灣50正2,買進,,10,490,
2024-07-23,006208,富邦台50,買進,,16,"4,336",
2024-07-19,006208,富邦台50,買進,,10,"4,320",
2024-07-16,006208,富邦台50,買進,,30,"4,310",
2024-07-05,006208,富邦台50,買進,,10,"4,280",
2024-06-17,006208,富邦台50,買進,,30,"4,270",
2024-05-21,006208,富邦台50,買進,,90,"4,240",
2024-05-14,006208,富邦台50,買進,,70,"4,150",
2024-05-07,006208,富邦台50,買進,,70,"4,080",
2024-04-22,00631L,元大台灣50正2,買進,,10,480,
2024-04-19,00631L,元大台灣50正2,買進,,8,470,
2024-04-19,006208,富邦台50,買進,,30,"4,010",
2024-04-11,006208,富邦台50,買進,,25,"3,980",
2024-04-03,006208,富邦台50,買進,,75,"3,955",
2024-03-06,006208,富邦台50,買進,,100,"3,880",
2024-02-26,006208,富邦台50,買進,,20,"3,780",
2024-02-21,006208,富邦台50,買進,,100,"3,760",
2024-02-02,006208,富邦台50,買進,,50,"3,660",
2024-01-15,00631L,元大台灣50正2,買進,,20,462,
2024-01-15,006208,富邦台50,買進,,120,"3,610",
2024-01-12,00631L,元大台灣50正2,買進,,20,442,
2024-01-12,006208,富邦台50,買進,,40,"3,490",
2023-12-20,006208,富邦台50,買進,,100,"3,450",
2023-11-30,00631L,元大台灣50正2,買進,,20,422,
2023-11-02,00646,元大S&P500,賣出,"1,420",,0,
2023-10-17,00631L,元大台灣50正2,買進,,60,402,
2023-09-26,00631L,元大台灣50正2,買進,,60,342,
2023-09-15,00631L,元大台灣50正2,買進,,50,282,
2023-09-11,00631L,元大台灣50正2,買進,,60,232,
2023-08-31,00631L,元大台灣50正2,買進,,50,172,
2023-08-21,00631L,元大台灣50正2,買進,,62,122,
2023-08-14,00631L,元大台灣50正2,買進,,60,60,
2023-07-27,00646,元大S&P500,買進,,"1,000","1,420",
2023-07-27,006208,富邦台50,買進,,100,"3,350",
2023-07-20,006208,富邦台50,買進,,50,"3,250",
2023-07-13,006208,富邦台50,買進,,100,"3,200",
2023-07-12,006208,富邦台50,買進,,100,"3,100",
2023-07-06,2884,玉山金,賣出,260,,0,
2023-06-29,006208,富邦台50,買進,,22,"3,000",
2023-06-16,006208,富邦台50,買進,,80,"2,978",
2023-06-15,006208,富邦台50,買進,,300,"2,898",
2023-06-15,0050,元大台灣50,賣出,150,,0,
2023-05-26,2884,玉山金,買進,,63,260,
2023-05-26,006208,富邦台50,買進,,60,"2,598",
2023-05-23,006208,富邦台50,買進,,50,"2,538",
2023-05-03,2884,玉山金,劃撥配發,,7,197,
2023-04-24,006208,富邦台50,買進,,40,"2,488",
2023-04-14,006208,富邦台50,買進,,100,"2,448",
2023-04-11,006208,富邦台50,買進,,40,"2,348",
2023-03-30,2884,玉山金,買進,,50,190,
2023-03-27,006208,富邦台50,買進,,50,"2,308",
2023-03-16,006208,富邦台50,買進,,50,"2,258",
2023-02-15,006208,富邦台50,買進,,100,"2,208",
2023-02-14,00646,元大S&P500,賣出,"1,500",,420,
2023-01-16,00646,元大S&P500,買進,,100,"1,920",
2023-01-12,006208,富邦台50,買進,,50,"2,108",
